FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN,NUM,SECOND_FR,SECOND_EN
Il était un homme,,,,,"There was once a man,",1,,
"dont la femme mourut,",,,,,"whose wife was dead,",2,,
et une femme,,,,,"and a woman,",3,,
dont le mari mourut;,,,,,whose husband was dead;,4,,
"et l'homme avait une fille,",,,,,"and the man had a daughter,",5,,
et la femme avait une fille.,,,,,and so had the woman.,6,,
Les petites filles se connaissaient,,,,,"The girls were acquainted with each other,",7,,
et allaient se promener ensemble et rentraient ensuite à la maison de la femme.,,,,,and used to play together sometimes in the woman's house.,8,,
Alors elle dit à la fille de l'homme:,,,,,"So the woman said to the man's daughter,",9,,
"Ecoute, ",,,,,"Listen to me,",10,,
"dis à ton père que je veux l'épouser,",,,,,"tell your father that I will marry him,",11,,
"alors tu auras chaque matin du lait pour te laver et du vin à boire,",,,,,"and then you shall have milk to wash in every morning and wine to drink,",12,,
tandis que ma fille se lavera dans de l'eau et boira de l'eau.,,,,,and my daughter shall have water to wash in and water to drink.,13,,
La petite fille rentra chez elle et raconta à son père ce que la femme avait dit.,,,,,The girl went home and told her father what the woman had said.,14,,
L'homme dit:,,,,,"The man said,",15,,
Que dois-je faire?,,,,,What shall I do!,16,,
Le mariage est une joie,,,,,"Marriage is a joy,",17,,
et aussi un tourment.,,,,,and also a torment.,18,,
"Pour finir,",,,,,"At last,",19,,
"comme il ne parvenait pas à se décider,",,,,,"as he could come to no conclusion,",20,,
il retira sa botte ,,,,,"he took off his boot,",21,,
et dit à sa fille: ,,,,,"and said to his daughter,",22,,
"Prends cette botte,",,,,,"Take this boot,",23,,
"la semelle en est percée,",,,,,it has a hole in the sole;,24,,
"va au grenier,",,,,,"go up with it into the loft,",25,,
pends-la au gros clou et verse de l'eau dedans.,,,,,hang it on the big nail and pour water in it.,26,,
"Si elle ne fuit pas,",,,,,"If it holds water,",27,,
"je me remarierai,",,,,,I will once more take to me a wife;,28,,
"mais si elle fuit, je refuse.",,,,,"if it lets out the water, so will I not.",29,,
La fillette fit ce qu'il lui avait ordonné: ,,,,,"The girl did as she was told,",30,,
mais sous l'effet de l'eau le trou se resserra ,,,,,"but the water held the hole together,",31,,
et la botte se remplit jusqu'au bord. ,,,,,and the boot was full up to the top.,32,,
Elle rapporta à son père ce que le sort avait décidé. ,,,,,So she went and told her father how it was.,33,,
Alors il monta voir lui-même ,,,,,"And he went up to see with his own eyes,",34,,
et il constata que c'était vrai; ,,,,,"and as there was no mistake about it,",35,,
il alla demander la veuve en mariage ,,,,,"he went to the widow and courted her,",36,,
et les noces eurent lieu.,,,,,and then they had the wedding.,37,,
"Le lendemain, quand les deux jeunes filles se lévèrent,",,,,,"The next morning, when the two girls awoke,",38,,
"la fille de l'homme trouva du lait pour se laver et du vin à boire,",,,,,"there stood by the bedside of the man's daughter milk to wash in and wine to drink,",39,,
tandis que la fille de la femme avait de l'eau pour se laver et de l'eau à boire.,,,,,and by the bedside of the woman's daughter there stood water to wash in and water to drink.,40,,
"Le surlendemain, il y eut pour l'une comme pour l'autre de l'eau pour se laver et de l'eau à boire.",,,,,On the second morning there stood water to wash in and water to drink for both of them alike.,41,,
"Et le troisième jour la fille de l'homme eut de l'eau pour se laver et de l'eau à boire,",,,,,"On the third morning there stood water to wash in and water to drink for the man's daughter,",42,,
"tandis que la fille de la femme avait du lait pour se laver et du vin à boire,",,,,,and milk to wash in and wine to drink for the woman's daughter;,43,,
et on en resta là.,,,,,and so it remained ever after.,44,,
La femme se mit à détester cordialement sa belle-fille,,,,,"The woman hated her stepdaughter,",45,,
et ne sut qu'inventer pour lui rendre la vie de plus en plus dure. ,,,,,and never knew how to treat her badly enough from one day to another.,46,,
"De plus elle était jalouse, parce que sa belle-fille était belle et aimable, ",,,,,"And she was jealous because her stepdaughter was pleasant and pretty,",47,,
tandis que sa vraie fille était laide et repoussante.,,,,,and her real daughter was ugly and hateful.,48,,
"Un jour d'hiver,",,,,,"Once in winter,",49,,
comme il avait gelé à pierre fendre,,,,,"when it was freezing hard,",50,,
"et que monts et vallées étaient ensevelis sous la neige,",,,,,"and snow lay deep on hill and valley,",51,,
"la femme confectionna une robe de papier,",,,,,"the woman made a frock out of paper,",52,,
appela la jeune fille et lui dit:,,,,,"called her stepdaughter, and said,",53,,
"mets cette robe,",,,,,"Here, put on this frock,",54,,
va dans la fort et rapporte-moi un petit panier de fraise:,,,,,go out into the wood and fetch me a basket of strawberries;,55,,
j'en ai envie.,,,,,I have a great wish for some.,56,,
"Mon Dieu, dit la jeune fille, ",,,,,"Oh dear, said the girl,",57,,
"c'est que les fraises ne poussent pas en hiver, ",,,,,there are no strawberries to be found in winter;,58,,
"la terre est felée, ",,,,,"the ground is frozen,",59,,
et puis la neige a tout recouvert. ,,,,,and the snow covers everything.,60,,
Et pourquoi irais-je dans cette robe en papier? ,,,,,And why should I go in the paper frock?,61,,
Il fait si froid dehors qu'on en a l'haleine gelée: ,,,,,it is so cold out of doors that one's breath is frozen;,62,,
le vent va passer au travers ,,,,,"the wind will blow through it,",63,,
et les ronces me l'arracheront. ,,,,,and the thorns will tear it off my back!,64,,
Vas-tu encore répliquer? ,,,,,How dare you contradict me!,65,,
"Répondit la belle-mère, tâche de filer ",,,,,"cried the stepmother, be off,",66,,
et ne t'avise pas de reparaître avant d'avoir rempli le panier de fraisers. ,,,,,and don't let me see you again till you bring me a basket of strawberries.,67,,
Après quoi elle lui donna un petit bout de pain dur ,,,,,"Then she gave her a little piece of hard bread,",68,,
"et dit: Tu en auras pour toute la journée, ",,,,,"and said, That will do for you to eat during the day,",69,,
et elle pensait qu'elle allait mourir de faim et de froid ,,,,,"and she thought to herself, She is sure to be frozen or starved to death out of doors,",70,,
et qu'elle ne reparaîtrait jamais devant ses yeux.,,,,,and I shall never set eyes on her again.,71,,
"Or la jeune fille était obéissante, ",,,,,"So the girl went obediently, ",72,,
elle mit la robe de papier ,,,,,"put on the paper frock,",73,,
et s'en alla avec son petit panier. ,,,,,and started out with the basket.,74,,
Il n'y avait rien que de la neige à la ronde ,,,,,"The snow was lying everywhere, far and wide,",75,,
et l'on ne voyait pas le moindre brin d'herbe. ,,,,,and there was not a blade of green to be seen.,76,,
"En arrivant dans la forêt, elle aperçut une petite maison où trois nains étaient à la fenêtre. ",,,,,When she entered the wood she saw a little house with three little men peeping out of it.,77,,
Elle leur souhaita la bonjour ,,,,,"She wished them good day,",78,,
et frappa discrétement à la porte. ,,,,,and knocked modestly at the door.,79,,
"ILs crient d'entrer, ",,,,,"They called her in,",80,,
"elle entra dans la pièce et s'asit sur un banc près du poêle, afin de se réchauffer et de manger son goûter. ",,,,,and she came into the room and sat down by the side of the oven to warm herself and eat her breakfast.,81,,
Les nains lui dirent: Donne-nous-en un morceau.,,,,,"The little men said, Give us some of it.",82,,
"Volontiers, dit-elle,",,,,,"Willingly, answered she,",83,,
elle coupa son morceau de pain en deux,,,,,"breaking her little piece of bread in two,",84,,
et leur en donna la moitié.,,,,,and giving them half.,85,,
Ils lui demandèrent:,,,,,"They then said,",86,,
"Que vas-tu faire dans la forêt par ce jour d'hiver, avec ta petite robe mince?",,,,,What are you doing here in the wood this winter time in your little thin frock?,87,,
"Ah! dit-elle,",,,,,"Oh, answered she,",88,,
il faut que je cherche des fraises pour remplir mon panier ,,,,,"I have to get a basket of strawberries,",89,,
et tant que je ne le rapporterai pas je ne pourrai pas rentrer à la maison. ,,,,,and I must not go home without them.,90,,
"Quand elle eut mangé son pain, ils lui donnèrent un balai et dirent: ",,,,,"When she had eaten her bread they gave her a broom,",91,,
balaie la neige à la porte de derrière. ,,,,,and told her to go and sweep the snow away from the back door.,92,,
"Mais quand elle fut dehors, les trois petits hommes se dirent: Qu'allons-nous lui donner ",,,,,"When she had gone outside to do it the little men talked among themselves about what they should do for her,",93,,
pour récompenser d'être si gentille,,,,,"as she was so good and pretty,",94,,
et si bonne et d'avoir partagé son pain avec nous?,,,,,and had shared her bread with them.,95,,
Alors le premier dit: ,,,,,"Then the first one said,",96,,
Elle aura le don d'embellir de jour en jour. ,,,,,She shall grow prettier every day.,97,,
Le deuxième dit: Il lui tombera des pièces d'or de la bouche à chaque fois qu'elle proférera un mot. ,,,,,"The second said, Each time she speaks a piece of gold shall fall from her mouth.",98,,
Le troisième dit: Un roi viendra et la prendra pour femme.,,,,,"The third said, A king shall come and take her for his wife.",99,,
"Cependant la jeune fille faisait ce que les nains lui avaient dit, ",,,,,"In the meanwhile the girl was doing as the little men had told her,",100,,
"elle balayait la neige, derrière la petite maison, ",,,,,"and had cleared the snow from the back of the little house,",101,,
et que croyez-vous qu'elle trouvea? ,,,,,and what do you suppose she found?,102,,
Rien que des fraises mûres qui faisaient des tâches rouges sombre sur la neige. ,,,,,"fine ripe strawberries, showing dark red against the snow!",103,,
"Alors, dans sa joie, elle en ramassa plein son panier,",,,,,"Then she joyfully filled her little basket full,",104,,
"remercia les petits hommes, donna la main à chacun d'eux",,,,,"thanked the little men, shook hands with them all,",105,,
et rentra chez elle en courant pour rapporter ce que sa belle-mère lui avait demandé.,,,,,and ran home in haste to bring her stepmother the thing she longed for.,106,,
"Comme elle disait Bonjour en entrant, aussitôt une pièce d'or lui tomba de la bouche.",,,,,"As she went in and said, Good evening, a piece of gold fell from her mouth at once.",107,,
"Puis elle raconta ce qui lui était arrivé dans la forêt,",,,,,"Then she related all that had happened to her in the wood,",108,,
"et à chaque mot qu'elle prononcait les pièces d'or lui sortaient de la bouche,",,,,,"and at each word that she spoke gold pieces fell out of her mouth,",109,,
de sorte que bientôt toute la pièce en fut couverte.,,,,,so that soon they were scattered all over the room.,110,,
"Voyez un peu cette outrecuidance, ",,,,,Just look at her pride and conceit!,111,,
"dit sa demi-soeur, ",,,,,"cried the stepsister,",112,,
"gaspiller ainsi l'argent, ",,,,,throwing money about in this way!,113,,
mais elle était secrétement jalouse ,,,,,"but in her heart she was jealous because of it,",114,,
et voulut aller à son tour chercher des fraises dans la forêt. ,,,,,and wanted to go too into the wood to fetch strawberries.,115,,
"Non, ma petite fille, dit la mère, ",,,,,"But the mother said, No, my dear little daughter,",116,,
"il fait trop froid, tu pourrais en mourir. ",,,,,"it is too cold, you will be frozen to death.",117,,
"Mais comme elle ne lui laissait pas de répit, elle finit par céder, ",,,,,"But she left her no peace, so at last the mother gave in,",118,,
"lui fit une splendide veste de fourrure, qu'elle dut mettre, ",,,,,"got her a splendid fur coat to put on,",119,,
et lui donna des tartines et un gâteau pour la route.,,,,,and gave her bread and butter and cakes to eat on the way.,120,,
"La jeune fille alla dans la forêt et se dirigea tout droit vers la petite maison, ",,,,,The girl went into the wood and walked straight up to the little house.,121,,
"les trois petits hommes étaient toujours à la fenêtre, ",,,,,"The three little men peeped out again,",122,,
"mais elle ne les salua pas et sans accorder un regard ni un bonjour, ",,,,,"but she gave them no greeting,",123,,
"elle entra dans la pièce en trébuchant, ",,,,,"and without looking round or taking any notice of them she came stumping into the room,",124,,
s'assit près du poêle ,,,,,"sat herself down by the oven,",125,,
et se mit à manger ses tartines et son gâteau. ,,,,,and began to eat her bread and butter and cakes.,126,,
"Donne-nous-en un morceau, s'écrierent les petits hommes,",,,,,"Give us some of that, cried the little men, ",127,,
mais elle répondit:,,,,,"but she answered, ",128,,
"Je n'en ai pas assez pour moi,",,,,,I've not enough for myself; ,129,,
comment en donnerais-je encore aux autres?,,,,,how can I give away any? ,130,,
"Quand elle eut fini de manger,",,,,,"Now when she had done with her eating, ",131,,
"ils lui dirent: Voilà un balai,",,,,,"they said, Here is a broom, ",132,,
"nettoie la neige dehors, à la porte de derrière.",,,,,go and sweep all clean by the back door.,133,,
"Mais elle répondit: Hé, balayez vous-mêmes, ",,,,,"Oh, go and do it yourselves, answered she; ",134,,
je ne suis pas votre servante. ,,,,,I am not your housemaid. ,135,,
"Voyant qu'ils ne voulaient rien lui donner, ",,,,,"But when she saw that they were not going to give her anything, ",136,,
elle prit la porte et s'en alla. ,,,,,she went out to the door. ,137,,
Alors les trois petits hommes se dirent entre eux: ,,,,,"Then the three little men said among themselves, ",138,,
Qu'allons-nous lui donner pour la punir d'être si désagréable ,,,,,"What shall we do to her, because she is so unpleasant, ",139,,
et d'avoir un coeur méchant et jaloux ,,,,,"and has such a wicked jealous heart, ",140,,
qui n'accorde rien à personne? ,,,,,grudging everybody everything? ,141,,
Le premier dit: Elle aura la don d'enlaidir de jour en jour. ,,,,,"The first said, She shall grow uglier every day. ",142,,
"Le deuxième dit: A chauqe mot qu'elle prononcera, un crapaud lui sortira de la bouche. ",,,,,"The second said, Each time she speaks a toad shall jump out of her mouth at every word. ",143,,
Le troisième dit: Elle mourra d'une mort terrible. ,,,,,"The third said, She shall die a miserable death.",144,,
"La jeune fille cherchait des fraises dehors; mais comme elle n'en trouva pas, ",,,,,"The girl was looking outside for strawberries, but as she found none, ",145,,
elle rentra de méchante humeur à la maison. ,,,,,she went sulkily home. ,146,,
"Et quand elle ouvrit la bouche pour raconter à sa mère ce qui lui était arrivé dans la forêt, voici qu'à chaque mot un crapaud lui sortait de la bouche, ",,,,,"And directly she opened her mouth to tell her mother what had happened to her in the wood a toad sprang out of her mouth at each word, ",147,,
de sorte qu'elle inspirait à tous de la répulsion.,,,,,so that every one who came near her was quite disgusted.,148,,
"A prèsent, la belle-mère était encore plus en colère et ne pensait plus qu'à faire tout le mal possible à la fille de l'homme, dont la beauté croissait vraiment de jour en jour.",,,,,"The stepmother became more and more set against the man's daughter, whose beauty increased day by day, and her only thought was how to do her some injury. ",149,,
"Enfin elle prit un chaudront, ",,,,,"So at last she took a kettle, ",150,,
le mit sur le feu ,,,,,"set it on the fire, ",151,,
et y fit bouillir du fil. ,,,,,and scalded some yarn in it. ,152,,
"Quand il fut bouilli, elle le pendit aux épaules de la jeune fille ",,,,,"When it was ready she hung it over the poor girl's shoulder, ",153,,
et lui donna une hache: ,,,,,"and gave her an axe, ",154,,
"elle devait aller avec cela sur la rivière gelée, ",,,,,"and she was to go to the frozen river and break a hole in the ice, ",155,,
faire un trou dans la glace et rouir le fil. ,,,,,and there to rinse the yarn. ,156,,
"Comme elle était obéissante, elle y alla, fit un trou dans la glace ",,,,,"She obeyed, and went and hewed a hole in the ice, ",157,,
et elle était en train de creuser quand passa un splendide carrose ,,,,,"and as she was about it there came by a splendid coach, ",158,,
dans lequel se trouvait le roi. ,,,,,in which the King sat. ,159,,
Le carrose s'arrêta et le roi demanda:,,,,,"The coach stood still, and the King said, ",160,,
"Mon enfant, qui es-tu et que fais-tu là?",,,,,"My child, who art thou, and what art thou doing there?",161,,
je suis une pauvre fille et je rouis du fil.,,,,,"She answered, I am a poor girl, and am rinsing yarn. ",162,,
Alors le roi la prit en pitié ,,,,,"Then the King felt pity for her, ",163,,
"et quand il vit qu'elle était si belle, ",,,,,"and as he saw that she was very beautiful, ",164,,
il lui dit: veux-tu venir avec moi? ,,,,,"he said, Will you go with me?",165,,
"Oh oui, de tout coeur, répondit-elle,",,,,,"Oh yes, with all my heart, answered she; ",166,,
car elle était bien aise de ne plus avoir à paraître devant sa mère et sa soeur.,,,,,and she felt very glad to be out of the way of her mother and sister.,167,,
Elle monta donc dans le carrosse ,,,,,So she stepped into the coach and went off with the King; ,168,,
"et quand ils furent arrivés au château, on célébra la noce en grande pompe, ",,,,,"and when they reached his castle the wedding was celebrated with great splendour, ",169,,
selon le don que les nains lui avait fait. ,,,,,as the little men in the wood had foretold.,170,,
"Au bout d'un an, la jeune reine eut un fils, ",,,,,At the end of a year the young Queen had a son; ,171,,
"et quand sa belle-mère eut entendu parler de son grand bonheur, elle vint au château avec sa fille ",,,,,"and as the stepmother had heard of her great good fortune she came with her daughter to the castle, ",172,,
et feignit de vouloir lui faire une visite. ,,,,,as if merely to pay the King and Queen a visit. ,173,,
Mais comme le roi était sorti un moment ,,,,,"One day, when the King had gone out, ",174,,
"et qu'il n'y avait personne d'autre dans la chambre, ",,,,,"and when nobody was about, ",175,,
"la méchante femme saisit la reine par la tête, ",,,,,"the bad woman took the Queen by the head, ",176,,
"sa fille la saisit par les pieds, ",,,,,"and her daughter took her by the heels, ",177,,
puis elles la soulevèrent du lit,,,,,"and dragged her out of bed, ",178,,
et la jetèrent par la fenêtre dans le fleuve qui coulait devant. ,,,,,and threw her out of the window into a stream that flowed beneath it. ,179,,
"Après quoi elle coucha sa vilaine fille dans le lit, ",,,,,"Then the old woman put her ugly daughter in the bed, ",180,,
et la vieille la couvrit jusqu'à la tête. ,,,,,and covered her up to her chin.,181,,
Quand le roi revint ,,,,,"When the King came back, ",182,,
"et voulut parler à sa femme, ",,,,,"and wanted to talk to his wife a little, ",183,,
"la vieille s'écria: 'Chut chut, pas maintenant, elle est toute baignée de sueur, ",,,,,"the old woman cried, Stop, stop! she is sleeping nicely; ",184,,
il faut la laisser en repos aujourd'hui ,,,,,she must be kept quiet to day. ,185,,
Le roi n'y vit rien de mal ,,,,,"The King dreamt of nothing wrong, ",186,,
"et ne revint que le lendemain matin, ",,,,,and came again the next morning; ,187,,
et quand il se mit à parler à sa femme ,,,,,"and as he spoke to his wife, ",188,,
"et qu'elle lui répondit,",,,,,"and she answered him,  ",189,,
"voici qu'à chaque mot un crapaud lui sortait de la bouche, tandis que d'ordinaire il en tombait une pièce d'or.",,,,,there jumped each time out of her mouth a toad instead of the piece of gold as heretofore.,190,,
"Il demanda alors comment cela se faisait,",,,,,"Then he asked why that should be, ",191,,
mais la vieille lui dit que cela venait de la forte transpiration,,,,,"and the old woman said it was because of her great weakness, ",192,,
et que cela ne tarderait pas à disparaître.,,,,,and that it would pass away.,193,,
"La nuit, pourtant, ",,,,,"But in the night, ",194,,
"le marmiton, vit une cane qui nageait dans le caniveau et disait:",,,,,"the boy who slept in the kitchen saw how something in the likeness of a duck swam up the gutter, and said,",195,,
"Roi, que fais-tu?",,,,,"My King, what mak'st thou?",196,,
Dors tu ou veilles-tu?,,,,,"Sleepest thou, or wak'st thou?",197,,
"Et comme il ne donnait pas réponse, elle dit: ",,,,,"But there was no answer. Then it said,",198,,
Que font mes hôtes?,,,,,What cheer my two guests keep they?,199,,
Alors le marmiton répondit: ,,,,,"So the kitchen-boy answered,",200,,
Ils dorment d'un profond sommeil. ,,,,,In bed all soundly sleep they.,201,,
Elle demanda encore: ,,,,,"It asked again,",202,,
Que fait mon petit enfant? ,,,,,"And my little baby, how does he?",203,,
et il répondit:,,,,,"And he answered,",204,,
Dans son berceau il dort gentiment.,,,,,He sleeps in his cradle quietly.,205,,
,,,,,,206,,
"Alors la reine reprit sa forme et monta, ",,,,,"Then the duck took the shape of the Queen and went to the child, ",207,,
"elle lui donna à boira, ",,,,,"and gave him to drink, ",208,,
"arrangea son petit lit, le couvrit ",,,,,"smoothed his little bed, covered him up again, ",209,,
et repartir sous l'aspect d'une cane en nageant dans le caniveau. ,,,,,"and then, in the likeness of a duck, swam back down the gutter.",210,,
"Elle vint ainsi deux nuits de suite, ",,,,,"In this way she came two nights, ",211,,
la troisième nuit elle dit au marmiton:,,,,,"and on the third she said to the kitchen-boy, ",212,,
Va dire au roi de prendre son épée et de la brandir trois fois sur le seul au dessus de moi.,,,,,Go and tell the King to brandish his sword three times over me on the threshold! ,213,,
"Le marmiton courut le dire au roi,",,,,,"Then the kitchen-boy ran and told the King, ",214,,
qui vint avec son épée et la brandit trois fois au-dessus du fantôme:,,,,,"and he came with his sword and brandished it three times over the duck, ",215,,
"et à la troisième fois son épouse se trouva devant lui,",,,,,"and at the third time his wife stood before him living, ",216,,
"fraîche, saine et sauve, telle qu'elle était auparavent.",,,,,"and hearty, and sound, as she had been before.",217,,
Alors le roi fut en grande joie;,,,,,"The King was greatly rejoiced, ",218,,
"mais il tint la reine cachée dans un cabinet jusqu'au dimanche, où l'enfant devait être baptisé.",,,,,but he hid the Queen in a chamber until the Sunday came when the child was to be baptized. ,219,,
"Et quand il fut baptisé, il dit:",,,,,"And after the baptism he said, ",220,,
Que convient-il de faire à quelqu'un qui en a tiré un autre du lit et l'a jeté à l'eau?,,,,,What does that person deserve who drags another out of; bed and throws him in the water?,221,,
"Il ne mérite rien de mieux, dit la vieille, que d'être mis dans un tonneau garni de clous ",,,,,"And the old woman answered, No better than to be put into a cask with iron nails in it, ",222,,
que l'on fera rouler du haut de la montagne jusqu'au fleuve.,,,,,and to be rolled in it down the hill into the water. ,223,,
"Alors le roi dit: Tu as prononcé ta sentence,",,,,,"Then said the King, You have spoken your own sentence;",224,,
il fit faire un tonneau semblabe ,,,,,"and he ordered a cask to be fetched, ",225,,
"et mettre la vieille avec sa fille dedans, puis le fond fut cloué ",,,,,"and the old woman and her daughter were put into it, and the top hammered down, ",226,,
et le tonneau dégringolant le long de la montagne roula jusqu'au fleuve.,,,,,and the cask was rolled down the hill into the river.,227,,
